Date,nasdaq100_UH,us500_Hx2,kbond20y,kodex200x2,usdkrwx2
1998-12-05,8486.824091913208,8245.862196172979,16415.29813401904,2468.86702646649,9125.398683418232
1998-12-07,8685.631089152128,8398.907111157796,16436.217688035253,2708.602969621995,9031.401153346596
1998-12-08,8686.886276238609,8308.956592964634,16447.499270801487,2659.3051481793937,9129.198272455462
1998-12-09,8776.558684228992,8338.07623305012,16458.787139389868,2833.075216847258,9129.850358046351
1998-12-10,8546.47975649952,8077.259706964521,16470.081296172986,3275.130769113848,9002.759728003435
1998-12-11,8668.714343392858,8096.681474845856,16481.381743523463,3131.4162869851507,9018.326544769518
1998-12-14,8325.761735947926,7745.46356263017,16502.77397099384,3178.5084252189504,8959.22196365675
1998-12-15,8639.119302652045,8038.552025345122,16514.09100012654,3412.042507412071,9078.970799996732
1998-12-16,8580.654162625504,8025.704539550136,16525.414326903196,3013.0454119581177,9038.402344217264
1998-12-17,8759.22303699684,8274.373978437621,16536.74395369515,2824.383093243075,9051.011910259163
1998-12-18,8984.758926344392,8386.714506268205,16548.079882873903,2781.099710773981,9032.202720178002
1998-12-21,9146.436844632884,8595.245654971919,16569.554453334324,3209.944166818073,8819.797782315429
1998-12-22,9107.3629237005,8605.098395918758,16580.90700277922,3010.813047778407,8938.616012860459
1998-12-23,9405.90551089145,8961.572513852096,16592.265861682517,3074.211435349362,9006.182558740411
1998-12-24,9345.288664737043,8927.850695690067,16603.631032414334,3094.392061569572,9018.769406681497
1998-12-28,9453.414326118316,8915.890423864603,16637.686745387353,3174.3353533950244,9048.547374632975
1999-01-04,9428.171014445948,8949.321831606481,16446.573849634082,3459.662167192933,8704.98598455348
1999-01-05,9497.91824710994,9191.817483453407,16373.996104821754,3588.799770357795,8386.394373837304
1999-01-06,9743.198750329258,9598.218561563255,16301.895460188523,3754.233502408693,8286.169424992075
1999-01-07,9687.683429798864,9558.192892517807,16230.268137207297,4063.412986833889,8172.222451213069
1999-01-08,9918.256698136123,9638.245209995734,16159.110392301996,3919.6976972486455,8499.837266865146
1999-01-11,10051.528060374478,9468.12563195842,15935.105959555543,4103.3285493676,8500.444398098492
1999-01-12,9765.258174864315,9102.36019696485,15865.847634010364,3978.1671284566414,8537.300802540993
1999-01-13,9801.226937252595,9026.695641954922,15797.040303540174,4001.1714292050615,8516.113245990005
1999-01-14,9689.136451069806,8701.25899967749,15728.680429706685,3639.312367811657,8698.147045672922
1999-01-15,10051.683003890095,9146.72209289165,15660.764506525678,3761.368710627264,8662.098244733334
1999-01-18,10032.573340384602,9146.72209289165,15446.334292973232,3859.289036234392,8629.78123126568
1999-01-19,10244.432325620995,9274.706086718894,15380.216729707778,3804.549995644611,8543.460588843946
1999-01-20,10167.727650673778,9342.529448577954,15314.52569476412,3746.63460191729,8416.13336783891
1999-01-21,9860.557383273122,9022.804615005314,15249.25787280816,3363.015993317593,8506.920261412199
1999-01-22,9931.80172951565,8876.53351494751,15184.409978658408,2999.305292521448,8609.081412672871
1999-01-25,10096.270037684084,9003.302831946065,14979.048301742314,2881.8845423321955,8606.047658179357
1999-01-26,10389.71301517619,9270.173459284704,14915.903947314897,2790.660622518055,8548.29155665309
1999-01-27,10222.771306868251,9134.230928959369,14853.163177861055,3147.430549446748,8537.994078013917
1999-01-28,10602.379688410228,9459.8444073092,14790.822885486425,3217.1121988540167,8548.052236331067
1999-01-29,10712.585058674433,9672.570184145789,14728.879990326664,3216.508639978505,8542.844841617512
1999-02-01,10729.136468058665,9571.536301331413,14532.112192236104,3332.310523935565,8539.81979169639
1999-02-02,10423.791651988142,9405.324682344446,14562.668041888071,3167.2750276577217,8471.369733690415
1999-02-03,10633.36957059706,9554.93744092252,14593.291093624097,3011.3510889894605,8476.319123699657
1999-02-04,10172.242504525137,9200.059188386827,14623.981512030465,2976.595085954717,8479.821719088091
1999-02-05,9972.628735683636,9065.471558594065,14654.739462159894,2989.871421697784,8474.631728734053
1999-02-08,10250.87434429789,9128.787811923446,14734.5198726967,2925.1617679420465,8557.079071822649
1999-02-09,9750.520468034809,8722.5850190102,14765.522466404624,2689.0271725525995,8554.051304270992
1999-02-10,9813.440737889776,8828.291346765353,14796.593364348772,2700.305062580864,8586.680875131493
1999-02-11,10300.130282450424,9267.685172753403,14827.732734266132,2695.028037069781,8553.026229422723
1999-02-12,9868.178498058023,8913.657110067004,14858.940744370488,2980.6604187119624,8556.547961324071
1999-02-18,9655.489006296508,9012.005050241383,15037.327753182532,2816.0641763744875,8649.599413074886
1999-02-19,9971.761689190402,9039.65708933458,15068.999275947448,2666.519764216692,8981.008250548452
1999-02-22,10407.038280181469,9519.326665763205,15151.463775459824,2527.112269834752,9160.598857001756
1999-02-23,10531.512859840092,9504.317860063084,15183.388826451164,2471.23036324329,9085.95027667936
1999-02-24,10379.692073347784,9237.952082618724,15215.384465086863,2427.278421289156,9176.59630434532
