,cagr,mdd
2016-12-14,14.344219352573395,-18.817650284830222
2016-12-15,14.440590464482339,-18.817650284830222
2016-12-16,14.278638423854018,-18.817650284830222
2016-12-19,14.283892156290623,-18.817650284830222
2016-12-20,14.216862979338018,-18.817650284830222
2016-12-21,14.11146830135035,-18.817650284830222
2016-12-22,13.996856040429616,-18.817650284830222
2016-12-23,14.144009112406097,-18.817650284830222
2016-12-26,14.082550341983623,-18.817650284830222
2016-12-27,13.969020758611773,-18.817650284830222
2016-12-28,13.865265069585831,-18.817650284830222
2016-12-29,14.107440913704616,-18.817650284830222
2017-01-02,14.161826439489221,-18.817650284830222
2017-01-03,14.147774614178177,-18.817650284830222
2017-01-04,14.083852076832247,-18.817650284830222
2017-01-05,14.437656083488971,-18.817650284830222
2017-01-06,14.300474603190928,-18.817650284830222
2017-01-09,13.95243731437077,-18.817650284830222
2017-01-10,14.306913943222032,-18.817650284830222
2017-01-11,14.17276818956077,-18.817650284830222
2017-01-12,14.399462584747248,-18.817650284830222
2017-01-13,14.561839182427105,-18.817650284830222
2017-01-16,14.531821824092873,-18.817650284830222
2017-01-17,14.653231278977174,-18.817650284830222
2017-01-18,14.830737281502525,-18.817650284830222
2017-01-19,14.669533826295478,-18.817650284830222
2017-01-20,14.881175966519589,-18.817650284830222
2017-01-23,14.962415462325263,-18.817650284830222
2017-01-24,14.975169592257753,-18.817650284830222
2017-01-25,14.82530205167032,-18.817650284830222
2017-01-26,14.83614225226808,-18.817650284830222
2017-01-31,15.007484845463193,-18.817650284830222
2017-02-01,14.932799575463672,-18.817650284830222
2017-02-02,15.261153651541814,-18.817650284830222
2017-02-03,15.212017478075456,-18.817650284830222
2017-02-06,15.247308281387518,-18.817650284830222
2017-02-07,15.226044870435839,-18.817650284830222
2017-02-08,15.317065495422643,-18.817650284830222
2017-02-09,15.29793480517785,-18.817650284830222
2017-02-10,15.120317858986198,-18.817650284830222
2017-02-13,15.080155059902122,-18.817650284830222
2017-02-14,15.305070439966496,-18.817650284830222
2017-02-15,15.148658875617716,-18.817650284830222
2017-02-16,15.11416820239926,-18.817650284830222
2017-02-17,15.080246752378624,-18.817650284830222
2017-02-20,14.961294336803954,-18.817650284830222
2017-02-21,14.771113635275078,-18.817650284830222
2017-02-22,14.730823514586234,-18.817650284830222
2017-02-23,14.809634698732154,-18.817650284830222
2017-02-24,15.106323595101934,-18.817650284830222
2017-02-27,15.164533761384202,-18.817650284830222
2017-02-28,15.177471360422668,-18.817650284830222
2017-03-02,14.86951376673149,-18.817650284830222
2017-03-03,15.246303748126945,-18.817650284830222
2017-03-06,15.269172383770947,-18.817650284830222
2017-03-07,15.215464626366849,-18.817650284830222
2017-03-08,15.232201882774543,-18.817650284830222
2017-03-09,15.337853034964134,-18.817650284830222
2017-03-10,15.253266157901123,-18.817650284830222
2017-03-13,15.004917126199402,-18.817650284830222
2017-03-14,14.811883678339344,-18.817650284830222
2017-03-15,14.786234625139905,-18.817650284830222
2017-03-16,14.402481438591686,-18.817650284830222
2017-03-17,14.361891611056276,-18.817650284830222
2017-03-20,14.492656792160652,-18.817650284830222
2017-03-21,14.22086211672835,-18.817650284830222
2017-03-22,14.557518694945015,-18.817650284830222
2017-03-23,14.41866987706315,-18.817650284830222
2017-03-24,14.541564973122533,-18.817650284830222
2017-03-27,14.714297857345615,-18.817650284830222
2017-03-28,14.661686710061538,-18.817650284830222
2017-03-29,14.530322861948775,-18.817650284830222
2017-03-30,14.550123236607892,-18.817650284830222
2017-03-31,14.580126823336514,-18.817650284830222
2017-04-03,14.554258717743341,-18.817650284830222
2017-04-04,14.657653947699512,-18.817650284830222
2017-04-05,14.676290101972288,-18.817650284830222
2017-04-06,14.832264569895193,-18.817650284830222
2017-04-07,14.934088600219608,-18.817650284830222
2017-04-10,15.1479297512066,-18.817650284830222
2017-04-11,15.261723828048467,-18.817650284830222
2017-04-12,15.252778284500979,-18.817650284830222
2017-04-13,14.99531265798797,-18.817650284830222
2017-04-14,15.17974244860303,-18.817650284830222
2017-04-17,15.175461676269887,-18.817650284830222
2017-04-18,15.122256040452964,-18.817650284830222
2017-04-19,15.20798792332032,-18.817650284830222
2017-04-20,15.167687169032451,-18.817650284830222
2017-04-21,14.872418507666406,-18.817650284830222
2017-04-24,14.766220443087041,-18.817650284830222
2017-04-25,14.445719820424419,-18.817650284830222
2017-04-26,14.29503710687625,-18.817650284830222
2017-04-27,14.231390430317092,-18.817650284830222
2017-04-28,14.223878572253534,-18.817650284830222
2017-05-02,14.102337872962934,-18.817650284830222
2017-05-04,13.799242708800353,-18.817650284830222
2017-05-08,13.153303814349204,-18.817650284830222
2017-05-10,13.525395022321995,-18.817650284830222
2017-05-11,13.261720683997291,-18.817650284830222
2017-05-12,13.415881559181543,-18.817650284830222
2017-05-15,13.337532563460064,-18.817650284830222
2017-05-16,13.253474921024,-18.817650284830222
2017-05-17,13.342452929327496,-18.817650284830222
2017-05-18,13.510476780962888,-18.817650284830222
2017-05-19,13.540994487998326,-18.817650284830222
2017-05-22,13.346418656304326,-18.817650284830222
2017-05-23,13.233676761924219,-18.817650284830222
2017-05-24,13.173399964199128,-18.817650284830222
2017-05-25,12.747698701525945,-18.817650284830222
2017-05-26,12.567369813089769,-18.817650284830222
2017-05-29,12.636901213178175,-18.817650284830222
2017-05-30,12.786563422259878,-18.817650284830222
2017-05-31,12.767364353450006,-18.817650284830222
2017-06-01,12.813698796292506,-18.817650284830222
2017-06-02,12.519219316252572,-18.817650284830222
2017-06-05,12.605016331723018,-18.817650284830222
2017-06-07,12.701370736712892,-18.817650284830222
2017-06-08,12.616948763095092,-18.817650284830222
2017-06-09,12.427219900375563,-18.817650284830222
2017-06-12,12.720730176386219,-18.817650284830222
2017-06-13,12.54953783886792,-18.817650284830222
2017-06-14,12.569583105380321,-18.817650284830222
2017-06-15,12.659624659808323,-18.817650284830222
2017-06-16,12.540300319191644,-18.817650284830222
2017-06-19,12.441358753431908,-18.817650284830222
2017-06-20,12.344925377384763,-18.817650284830222
2017-06-21,12.391158217752274,-18.817650284830222
2017-06-22,12.2576384470376,-18.817650284830222
2017-06-23,12.221778141295726,-18.817650284830222
2017-06-26,12.150469073181181,-18.817650284830222
2017-06-27,12.151762033243795,-18.817650284830222
2017-06-28,12.19346271146331,-18.817650284830222
2017-06-29,12.078989463457667,-18.817650284830222
2017-06-30,12.124343269890803,-18.817650284830222
2017-07-03,12.120439150656438,-18.817650284830222
2017-07-04,12.174449738279748,-18.817650284830222
2017-07-05,12.12735124348363,-18.817650284830222
2017-07-06,11.993498439551441,-18.817650284830222
2017-07-07,12.176562343130847,-18.817650284830222
2017-07-10,12.208960914323841,-18.817650284830222
2017-07-11,12.065362011553859,-18.817650284830222
2017-07-12,12.180953507479764,-18.817650284830222
2017-07-13,12.103594563105414,-18.817650284830222
2017-07-14,12.149607410487274,-18.817650284830222
2017-07-17,12.178307153880485,-18.817650284830222
2017-07-18,12.269978684729121,-18.817650284830222
2017-07-19,12.308784627215896,-18.817650284830222
2017-07-20,12.094766016465531,-18.817650284830222
2017-07-21,12.173675939886452,-18.817650284830222
2017-07-24,12.252504765218886,-18.817650284830222
2017-07-25,12.26311636862274,-18.817650284830222
2017-07-26,12.273918577150367,-18.817650284830222
2017-07-27,12.341112586460067,-18.817650284830222
2017-07-28,12.572741526189969,-18.817650284830222
2017-07-31,12.622337923270056,-18.817650284830222
2017-08-01,12.407503246911222,-18.817650284830222
2017-08-02,12.300891790473356,-18.817650284830222
2017-08-03,12.693539768970052,-18.817650284830222
2017-08-04,12.644729955684152,-18.817650284830222
2017-08-07,12.633344426506032,-18.817650284830222
2017-08-08,12.723083764623745,-18.817650284830222
2017-08-09,12.922605856975578,-18.817650284830222
2017-08-10,12.938847006164632,-18.817650284830222
2017-08-11,13.379663981174893,-18.817650284830222
2017-08-14,13.245023774667875,-18.817650284830222
2017-08-16,13.109873358126723,-18.817650284830222
2017-08-17,13.04174257143973,-18.817650284830222
2017-08-18,13.039851716934091,-18.817650284830222
2017-08-21,13.145976637058098,-18.817650284830222
